congress,icpsr,state_code,district,state,party,name,dim1,dim2,dim1bootstrappedstandarderror,dim2bootstrappedstandarderror,correlation,loglikelihood,votes,errors,geomeanprobability
7,9947,11,0,DELAWAR,1,WELLS  W.H.,0.765,0.304,0.0624,0.1278,-0.2031,-5.26966,69,3,0.926
7,7048,4,0,NEW HAM,1,OLCOTT  S.,0.725,-0.686,0.2113,0.106,0.6347,-10.74194,76,5,0.868
7,9452,1,0,CONNECT,1,TRACY  U.,0.651,0.373,0.0755,0.086,0.1325,-4.75907,61,2,0.925
7,6703,13,0,NEW YOR,1,MORRIS  G.,0.636,-0.397,0.1528,0.1572,-0.2681,-11.04738,66,6,0.846
7,10043,11,0,DELAWAR,1,WHITE  S.,0.579,0.154,0.0706,0.108,0.2496,-10.46085,65,6,0.851
7,7029,12,0,NEW JER,1,OGDEN  A.,0.565,-0.04,0.1068,0.2169,0.319,-3.17059,57,1,0.946
7,4628,52,0,MARYLAN,1,HOWARD J.E.,0.549,-0.089,0.1363,0.1289,-0.062,-3.74813,70,1,0.948
7,4433,1,0,CONNECT,1,HILLHOUSE J,0.545,0.059,0.0918,0.0881,0.0055,-4.60435,40,3,0.891
7,3303,3,0,MASSACH,1,FOSTER  D.,0.543,-0.829,0.2389,0.0815,0.3626,-6.36908,64,3,0.905
7,6058,3,0,MASSACH,1,MASON  J.,0.47,0.032,0.0978,0.2013,0.1423,-6.19112,55,3,0.894
7,8070,14,0,PENNSYL,1,ROSS  J.,0.468,0.02,0.1758,0.2308,0.2093,-1.93554,31,1,0.939
7,2440,12,0,NEW JER,1,DAYTON  J.,0.423,0.44,0.0794,0.0888,0.1508,-6.39063,56,3,0.892
7,3315,5,0,RHODE I,200,FOSTER  T.,0.114,0.637,0.1018,0.2132,0.1656,-10.02508,71,4,0.868
7,10396,52,0,MARYLAN,200,WRIGHT  R.,0.081,0.997,0.1146,0.1106,0.1032,-7.93044,67,5,0.888
7,956,6,0,VERMONT,200,BRADLEY S.R,-0.073,-0.221,0.0423,0.0978,-0.0655,-16.42175,60,11,0.761
7,5744,14,0,PENNSYL,200,LOGAN  G.,-0.167,-0.496,0.0804,0.1025,0.1853,-12.24558,69,4,0.837
7,3342,47,0,NORTH C,200,FRANKLIN J.,-0.181,-0.301,0.0316,0.0824,-0.1967,-9.72471,63,5,0.857
7,6913,40,0,VIRGINI,200,NICHOLAS  W,-0.265,-0.515,0.0481,0.0939,0.1948,-21.18039,73,11,0.748
7,1118,51,0,KENTUCK,200,BROWN  J.,-0.312,-0.61,0.0617,0.1174,0.1898,-11.93354,49,7,0.784
7,8977,47,0,NORTH C,200,STONE  D.,-0.339,-0.941,0.1615,0.1061,-0.0474,-8.50749,66,2,0.879
7,4854,44,0,GEORGIA,200,JACKSON  J.,-0.347,-0.458,0.0591,0.1504,0.2408,-11.51885,71,7,0.85
7,379,44,0,GEORGIA,200,BALDWIN  A.,-0.357,-0.572,0.05,0.0863,-0.0063,-8.85552,77,3,0.891
7,1847,13,0,NEW YOR,200,CLINTON D.W,-0.364,-0.558,0.095,0.2488,0.3415,-5.42951,55,4,0.906
7,174,54,0,TENNESS,200,ANDERSON J.,-0.366,0.277,0.0416,0.0704,-0.0006,-9.05639,73,5,0.883
7,9088,48,0,SOUTH C,200,SUMTER  T.,-0.553,-0.821,0.1062,0.1723,0.1402,-6.69531,74,2,0.913
7,994,51,0,KENTUCK,200,BRECKENRIDG,-0.561,-0.199,0.0814,0.1618,0.2878,-4.95398,73,2,0.934
7,2903,5,0,RHODE I,200,ELLERY  C.,-0.58,-0.815,0.1063,0.1979,-0.3898,-7.08485,73,4,0.908
7,1888,54,0,TENNESS,200,COCKE  W.,-0.635,0.14,0.0604,0.1152,-0.2295,-6.59837,66,3,0.905
7,6063,40,0,VIRGINI,200,MASON  S.T.,-0.669,-0.355,0.2034,0.1791,-0.0633,-4.75269,66,1,0.931
